County,flow
Beaverhead,-133
Big Horn,-361
Blaine,-94
Broadwater,18
Carbon,-260
Carter,-162
Cascade,-641
Chouteau,69
Custer,110
Daniels,30
Dawson,604
Deer Lodge,-100
Fallon,180
Fergus,-914
Flathead,410
Gallatin,3161
Garfield,-60
Glacier,349
Golden Valley,62
Granite,-23
Hill,-144
Jefferson,484
Judith Basin,24
Lake,648
Lewis and Clark,649
Liberty,75
Lincoln,50
Madison,100
McCone,9
Meagher,16
Mineral,80
Missoula,505
Musselshell,-43
Park,-494
Petroleum,68
Phillips,16
Pondera,-53
Powder River,-82
Powell,-276
Prairie,-36
Ravalli,-345
Richland,69
Roosevelt,-362
Rosebud,-264
Sanders,-441
Sheridan,-219
Silver Bow,430
Stillwater,-68
Sweet Grass,34
Teton,124
Toole,305
Treasure,55
Valley,-116
Wheatland,19
Wibaux,-33
Yellowstone,1555
