state ID,sum
01,4941,
02,-36837,
04,53650,
05,2381,
06,-99667,
08,41815,
09,-14278,
10,9603,
12,148815,
13,32901,
15,-6717,
16,8618,
17,-105461,
18,887,
19,2392,
20,-2324,
21,7571,
22,-4692,
23,-497,
24,-16540,
25,-21441,
26,-23540,
27,-12386,
28,-1178,
29,8890,
30,4584,
31,19,
32,29287,
33,6524,
34,-78329,
35,-9010,
36,-160265,
37,46154,
38,8408,
39,-7325,
40,7300,
41,26910,
42,-14283,
44,972,
45,36982,
46,1086,
47,16635,
48,117604,
49,12059,
50,563,
51,6854,
53,38270,
54,-2424,
55,-432,
56,-468,
states,-986410,
